Activity_ID,Lead_ID,Activity_Type,Activity_Date,Outcome
A02316,L0670,Website Visit,2026-04-24,Case Study
A02317,L0682,Website Visit,2026-04-24,Pricing Page
A02318,L0743,Website Visit,2026-04-24,Contact Page
A02319,L0793,Call,2026-04-24,Connected
A02320,L0800,Email,2026-04-24,Bounced
A02321,L0170,Website Visit,2026-04-25,Blog
A02322,L0208,Email,2026-04-25,Opened
A02323,L0275,Call,2026-04-25,Connected
A02324,L0377,Call,2026-04-25,No Answer
A02325,L0415,Website Visit,2026-04-25,Case Study
A02326,L0417,Call,2026-04-25,Connected
A02327,L0419,Call,2026-04-25,Connected
A02328,L0421,Website Visit,2026-04-25,Case Study
A02329,L0447,Website Visit,2026-04-25,Pricing Page
A02330,L0471,Website Visit,2026-04-25,Pricing Page
A02331,L0472,Email,2026-04-25,No Response
A02332,L0503,Email,2026-04-25,Opened
A02333,L0520,Website Visit,2026-04-25,Services Page
A02334,L0533,Email,2026-04-25,No Response
A02335,L0589,Email,2026-04-25,Bounced
A02336,L0589,Website Visit,2026-04-25,Blog
A02337,L0592,Website Visit,2026-04-25,Pricing Page
A02338,L0595,Meeting,2026-04-25,Completed
A02339,L0637,Call,2026-04-25,Callback Requested
A02340,L0671,Email,2026-04-25,No Response
A02341,L0679,Email,2026-04-25,Opened
A02342,L0694,Website Visit,2026-04-25,Pricing Page
A02343,L0695,Website Visit,2026-04-25,Blog
A02344,L0724,Website Visit,2026-04-25,Blog
A02345,L0727,Email,2026-04-25,Replied
A02346,L0727,Website Visit,2026-04-25,Blog
A02347,L0745,Email,2026-04-25,No Response
A02348,L0745,Email,2026-04-25,Opened
A02349,L0762,Email,2026-04-25,Replied
A02350,L0771,Call,2026-04-25,Callback Requested
A02351,L0771,Email,2026-04-25,No Response
A02352,L0773,Call,2026-04-25,Connected
A02353,L0784,Email,2026-04-25,Opened
A02354,L0189,Call,2026-04-26,No Answer
A02355,L0216,Website Visit,2026-04-26,Services Page
A02356,L0242,Call,2026-04-26,Callback Requested
A02357,L0245,Email,2026-04-26,Opened
A02358,L0324,Call,2026-04-26,Voicemail
A02359,L0335,Meeting,2026-04-26,Completed
A02360,L0361,Website Visit,2026-04-26,Blog
A02361,L0364,Website Visit,2026-04-26,Case Study
A02362,L0370,Email,2026-04-26,Bounced
A02363,L0423,Call,2026-04-26,Callback Requested
A02364,L0426,Website Visit,2026-04-26,Services Page
A02365,L0437,Email,2026-04-26,Opened
A02366,L0465,Call,2026-04-26,Connected
A02367,L0472,Call,2026-04-26,No Answer
A02368,L0481,Website Visit,2026-04-26,Services Page
A02369,L0495,Website Visit,2026-04-26,Blog
A02370,L0566,Website Visit,2026-04-26,Pricing Page
A02371,L0637,Website Visit,2026-04-26,Pricing Page
A02372,L0647,Meeting,2026-04-26,Completed
A02373,L0659,Call,2026-04-26,Callback Requested
A02374,L0660,Email,2026-04-26,Opened
A02375,L0715,Meeting,2026-04-26,Completed
A02376,L0723,Call,2026-04-26,No Answer
A02377,L0735,Email,2026-04-26,Opened
A02378,L0744,Call,2026-04-26,No Answer
A02379,L0769,Website Visit,2026-04-26,Services Page
A02380,L0773,Call,2026-04-26,Connected
A02381,L0785,Website Visit,2026-04-26,Pricing Page
A02382,L0815,Email,2026-04-26,Bounced
A02383,L0816,Call,2026-04-26,Not Interested
A02384,L0204,Meeting,2026-04-27,Completed
A02385,L0232,Website Visit,2026-04-27,Contact Page
A02386,L0240,Website Visit,2026-04-27,Services Page
A02387,L0250,Website Visit,2026-04-27,Case Study
A02388,L0269,Website Visit,2026-04-27,Services Page
A02389,L0271,Website Visit,2026-04-27,Contact Page
A02390,L0277,Meeting,2026-04-27,No Show
A02391,L0289,Call,2026-04-27,Connected
A02392,L0293,Meeting,2026-04-27,Completed
A02393,L0298,Website Visit,2026-04-27,Blog
A02394,L0309,Call,2026-04-27,Connected
A02395,L0314,Call,2026-04-27,Not Interested
A02396,L0337,Email,2026-04-27,Bounced
A02397,L0337,Website Visit,2026-04-27,Blog
A02398,L0346,Email,2026-04-27,Opened
A02399,L0355,Call,2026-04-27,Voicemail
A02400,L0382,Call,2026-04-27,Connected
A02401,L0389,Email,2026-04-27,Replied
A02402,L0399,Website Visit,2026-04-27,Services Page
A02403,L0401,Call,2026-04-27,Voicemail
A02404,L0402,Call,2026-04-27,Connected
A02405,L0413,Website Visit,2026-04-27,Contact Page
A02406,L0415,Website Visit,2026-04-27,Blog
A02407,L0467,Website Visit,2026-04-27,Case Study
A02408,L0471,Call,2026-04-27,No Answer
A02409,L0471,Website Visit,2026-04-27,Services Page
A02410,L0483,Website Visit,2026-04-27,Pricing Page
A02411,L0497,Email,2026-04-27,Replied
A02412,L0528,Call,2026-04-27,No Answer
A02413,L0537,Meeting,2026-04-27,No Show
A02414,L0564,Website Visit,2026-04-27,Services Page
A02415,L0568,Website Visit,2026-04-27,Services Page
A02416,L0585,Website Visit,2026-04-27,Case Study
A02417,L0589,Meeting,2026-04-27,No Show
A02418,L0592,Call,2026-04-27,No Answer
A02419,L0623,Call,2026-04-27,Connected
A02420,L0637,Email,2026-04-27,Opened
A02421,L0650,Call,2026-04-27,Connected
A02422,L0651,Call,2026-04-27,Callback Requested
A02423,L0655,Website Visit,2026-04-27,Pricing Page
A02424,L0673,Call,2026-04-27,No Answer
A02425,L0691,Email,2026-04-27,No Response
A02426,L0693,Email,2026-04-27,Opened
A02427,L0696,Email,2026-04-27,Opened
A02428,L0723,Call,2026-04-27,No Answer
A02429,L0739,Email,2026-04-27,Opened
A02430,L0740,Call,2026-04-27,No Answer
A02431,L0769,Email,2026-04-27,Bounced
A02432,L0779,Call,2026-04-27,Connected
A02433,L0780,Website Visit,2026-04-27,Pricing Page
A02434,L0816,Meeting,2026-04-27,Rescheduled
A02435,L0818,Meeting,2026-04-27,Completed
A02436,L0202,Email,2026-04-28,No Response
A02437,L0257,Call,2026-04-28,Connected
A02438,L0275,Website Visit,2026-04-28,Services Page
A02439,L0284,Call,2026-04-28,Callback Requested
A02440,L0301,Email,2026-04-28,Opened
A02441,L0316,Email,2026-04-28,Replied
A02442,L0316,Website Visit,2026-04-28,Blog
A02443,L0337,Website Visit,2026-04-28,Blog
A02444,L0375,Website Visit,2026-04-28,Services Page
A02445,L0376,Website Visit,2026-04-28,Pricing Page
A02446,L0379,Website Visit,2026-04-28,Case Study
A02447,L0436,Call,2026-04-28,Connected
A02448,L0473,Call,2026-04-28,No Answer
A02449,L0505,Email,2026-04-28,No Response
A02450,L0507,Call,2026-04-28,Connected
A02451,L0534,Call,2026-04-28,No Answer
A02452,L0591,Website Visit,2026-04-28,Services Page
A02453,L0607,Email,2026-04-28,No Response
A02454,L0612,Call,2026-04-28,Voicemail
A02455,L0653,Website Visit,2026-04-28,Blog
A02456,L0702,Website Visit,2026-04-28,Case Study
A02457,L0723,Meeting,2026-04-28,Completed
A02458,L0756,Website Visit,2026-04-28,Case Study
A02459,L0782,Website Visit,2026-04-28,Contact Page
A02460,L0785,Website Visit,2026-04-28,Contact Page
A02461,L0204,Email,2026-04-29,Opened
A02462,L0277,Website Visit,2026-04-29,Blog
A02463,L0319,Call,2026-04-29,Connected
A02464,L0330,Call,2026-04-29,Voicemail
A02465,L0337,Website Visit,2026-04-29,Services Page
A02466,L0357,Call,2026-04-29,Connected
A02467,L0395,Call,2026-04-29,Voicemail
A02468,L0441,Call,2026-04-29,Not Interested
A02469,L0465,Call,2026-04-29,Voicemail
A02470,L0465,Email,2026-04-29,Opened
A02471,L0480,Call,2026-04-29,No Answer
A02472,L0482,Website Visit,2026-04-29,Case Study
A02473,L0483,Meeting,2026-04-29,Completed
A02474,L0487,Website Visit,2026-04-29,Contact Page
A02475,L0487,Website Visit,2026-04-29,Blog
A02476,L0501,Email,2026-04-29,No Response
A02477,L0513,Call,2026-04-29,Callback Requested
A02478,L0517,Website Visit,2026-04-29,Blog
A02479,L0518,Website Visit,2026-04-29,Pricing Page
A02480,L0522,Website Visit,2026-04-29,Services Page
A02481,L0523,Email,2026-04-29,No Response
A02482,L0532,Website Visit,2026-04-29,Blog
A02483,L0657,Call,2026-04-29,Not Interested
A02484,L0676,Website Visit,2026-04-29,Pricing Page
A02485,L0679,Call,2026-04-29,Connected
A02486,L0709,Website Visit,2026-04-29,Services Page
A02487,L0711,Email,2026-04-29,No Response
A02488,L0745,Website Visit,2026-04-29,Case Study
A02489,L0775,Website Visit,2026-04-29,Services Page
A02490,L0812,Website Visit,2026-04-29,Services Page
A02491,L0813,Meeting,2026-04-29,Completed
A02492,L0818,Call,2026-04-29,Callback Requested
A02493,L0821,Call,2026-04-29,Callback Requested
A02494,L0826,Meeting,2026-04-29,Completed
A02495,L0832,Website Visit,2026-04-29,Services Page
A02496,L0218,Website Visit,2026-04-30,Services Page
A02497,L0220,Email,2026-04-30,No Response
A02498,L0231,Email,2026-04-30,No Response
A02499,L0233,Website Visit,2026-04-30,Services Page
A02500,L0252,Call,2026-04-30,No Answer
A02501,L0276,Call,2026-04-30,Callback Requested
A02502,L0285,Call,2026-04-30,Callback Requested
A02503,L0302,Call,2026-04-30,Connected
A02504,L0303,Call,2026-04-30,Connected
A02505,L0316,Email,2026-04-30,Replied
A02506,L0320,Email,2026-04-30,Opened
A02507,L0322,Website Visit,2026-04-30,Services Page
A02508,L0349,Call,2026-04-30,Callback Requested
A02509,L0357,Meeting,2026-04-30,Completed
A02510,L0386,Website Visit,2026-04-30,Pricing Page
A02511,L0403,Call,2026-04-30,Callback Requested
A02512,L0406,Call,2026-04-30,No Answer
A02513,L0432,Website Visit,2026-04-30,Blog
A02514,L0442,Website Visit,2026-04-30,Services Page
A02515,L0485,Email,2026-04-30,Replied
A02516,L0487,Email,2026-04-30,Replied
A02517,L0511,Call,2026-04-30,Callback Requested
A02518,L0526,Website Visit,2026-04-30,Services Page
A02519,L0553,Email,2026-04-30,No Response
A02520,L0591,Website Visit,2026-04-30,Pricing Page
A02521,L0602,Website Visit,2026-04-30,Blog
A02522,L0607,Email,2026-04-30,No Response
A02523,L0611,Email,2026-04-30,Replied
A02524,L0631,Call,2026-04-30,Callback Requested
A02525,L0641,Meeting,2026-04-30,Rescheduled
A02526,L0642,Website Visit,2026-04-30,Services Page
A02527,L0661,Call,2026-04-30,Connected
A02528,L0667,Website Visit,2026-04-30,Services Page
A02529,L0698,Website Visit,2026-04-30,Services Page
A02530,L0719,Email,2026-04-30,Opened
A02531,L0723,Email,2026-04-30,No Response
A02532,L0726,Website Visit,2026-04-30,Blog
A02533,L0735,Call,2026-04-30,Connected
A02534,L0774,Call,2026-04-30,Voicemail
A02535,L0792,Call,2026-04-30,Voicemail
A02536,L0801,Email,2026-04-30,Opened
A02537,L0818,Email,2026-04-30,Opened
A02538,L0818,Email,2026-04-30,No Response
A02539,L0825,Website Visit,2026-04-30,Pricing Page
A02540,L0228,Website Visit,2026-05-01,Contact Page
A02541,L0258,Email,2026-05-01,Replied
A02542,L0294,Website Visit,2026-05-01,Services Page
A02543,L0303,Website Visit,2026-05-01,Blog
A02544,L0310,Call,2026-05-01,Connected
A02545,L0310,Meeting,2026-05-01,Completed
A02546,L0317,Call,2026-05-01,No Answer
A02547,L0317,Email,2026-05-01,No Response
A02548,L0317,Meeting,2026-05-01,Completed
A02549,L0320,Call,2026-05-01,No Answer
A02550,L0335,Website Visit,2026-05-01,Contact Page
A02551,L0345,Meeting,2026-05-01,Completed
A02552,L0372,Website Visit,2026-05-01,Blog
A02553,L0383,Website Visit,2026-05-01,Blog
A02554,L0414,Call,2026-05-01,Callback Requested
A02555,L0426,Call,2026-05-01,No Answer
A02556,L0440,Website Visit,2026-05-01,Contact Page
A02557,L0441,Call,2026-05-01,No Answer
A02558,L0458,Meeting,2026-05-01,Completed
A02559,L0495,Email,2026-05-01,Opened
A02560,L0511,Website Visit,2026-05-01,Services Page
A02561,L0521,Call,2026-05-01,Connected
A02562,L0526,Call,2026-05-01,Callback Requested
A02563,L0557,Meeting,2026-05-01,Completed
A02564,L0569,Call,2026-05-01,No Answer
A02565,L0607,Email,2026-05-01,Replied
A02566,L0611,Meeting,2026-05-01,Completed
A02567,L0633,Call,2026-05-01,Connected
A02568,L0653,Meeting,2026-05-01,Completed
A02569,L0659,Email,2026-05-01,Opened
A02570,L0665,Meeting,2026-05-01,Completed
A02571,L0698,Website Visit,2026-05-01,Pricing Page
A02572,L0735,Website Visit,2026-05-01,Case Study
A02573,L0739,Website Visit,2026-05-01,Pricing Page
A02574,L0767,Call,2026-05-01,No Answer
A02575,L0770,Website Visit,2026-05-01,Services Page
A02576,L0785,Website Visit,2026-05-01,Case Study
A02577,L0813,Call,2026-05-01,No Answer
A02578,L0832,Website Visit,2026-05-01,Case Study
A02579,L0839,Email,2026-05-01,Opened
A02580,L0238,Call,2026-05-02,Connected
A02581,L0238,Website Visit,2026-05-02,Pricing Page
A02582,L0244,Email,2026-05-02,Opened
A02583,L0266,Call,2026-05-02,Callback Requested
A02584,L0292,Website Visit,2026-05-02,Services Page
A02585,L0296,Website Visit,2026-05-02,Services Page
A02586,L0301,Website Visit,2026-05-02,Case Study
A02587,L0316,Meeting,2026-05-02,Completed
A02588,L0320,Meeting,2026-05-02,No Show
A02589,L0331,Website Visit,2026-05-02,Blog
A02590,L0333,Call,2026-05-02,Connected
A02591,L0335,Email,2026-05-02,Replied
A02592,L0356,Website Visit,2026-05-02,Services Page
A02593,L0357,Call,2026-05-02,Callback Requested
A02594,L0373,Email,2026-05-02,Opened
A02595,L0382,Meeting,2026-05-02,Completed
A02596,L0386,Email,2026-05-02,Replied
A02597,L0401,Website Visit,2026-05-02,Services Page
A02598,L0413,Meeting,2026-05-02,Completed
A02599,L0431,Call,2026-05-02,Callback Requested
A02600,L0477,Website Visit,2026-05-02,Case Study
A02601,L0483,Call,2026-05-02,No Answer
A02602,L0497,Meeting,2026-05-02,Completed
A02603,L0569,Website Visit,2026-05-02,Pricing Page
A02604,L0574,Call,2026-05-02,Connected
A02605,L0578,Call,2026-05-02,Connected
A02606,L0607,Call,2026-05-02,Connected
A02607,L0612,Website Visit,2026-05-02,Blog
A02608,L0652,Call,2026-05-02,No Answer
A02609,L0653,Website Visit,2026-05-02,Services Page
A02610,L0665,Website Visit,2026-05-02,Case Study
A02611,L0686,Call,2026-05-02,No Answer
A02612,L0686,Email,2026-05-02,No Response
A02613,L0707,Website Visit,2026-05-02,Pricing Page
A02614,L0708,Call,2026-05-02,Connected
A02615,L0715,Website Visit,2026-05-02,Case Study
A02616,L0741,Website Visit,2026-05-02,Services Page
A02617,L0758,Call,2026-05-02,Connected
A02618,L0758,Meeting,2026-05-02,Completed
A02619,L0760,Call,2026-05-02,Connected
A02620,L0769,Email,2026-05-02,No Response
A02621,L0772,Call,2026-05-02,Connected
A02622,L0774,Call,2026-05-02,Connected
A02623,L0778,Call,2026-05-02,Connected
A02624,L0801,Website Visit,2026-05-02,Services Page
A02625,L0818,Meeting,2026-05-02,Rescheduled
A02626,L0858,Email,2026-05-02,No Response
A02627,L0230,Call,2026-05-03,Callback Requested
A02628,L0231,Email,2026-05-03,Replied
A02629,L0256,Call,2026-05-03,Voicemail
A02630,L0279,Website Visit,2026-05-03,Pricing Page
A02631,L0286,Call,2026-05-03,Not Interested
A02632,L0314,Email,2026-05-03,Bounced
A02633,L0352,Email,2026-05-03,Opened
A02634,L0353,Email,2026-05-03,Replied
A02635,L0404,Website Visit,2026-05-03,Contact Page
A02636,L0413,Call,2026-05-03,Connected
A02637,L0414,Email,2026-05-03,No Response
A02638,L0414,Email,2026-05-03,No Response
A02639,L0432,Meeting,2026-05-03,Completed
A02640,L0438,Website Visit,2026-05-03,Case Study
A02641,L0478,Call,2026-05-03,Connected
A02642,L0478,Website Visit,2026-05-03,Services Page
A02643,L0499,Website Visit,2026-05-03,Contact Page
A02644,L0503,Website Visit,2026-05-03,Services Page
A02645,L0506,Call,2026-05-03,Connected
A02646,L0548,Website Visit,2026-05-03,Case Study
A02647,L0570,Call,2026-05-03,Connected
A02648,L0574,Website Visit,2026-05-03,Services Page
A02649,L0577,Website Visit,2026-05-03,Blog
A02650,L0588,Call,2026-05-03,No Answer
A02651,L0671,Website Visit,2026-05-03,Blog
A02652,L0741,Email,2026-05-03,No Response
A02653,L0775,Email,2026-05-03,No Response
A02654,L0780,Website Visit,2026-05-03,Blog
A02655,L0792,Call,2026-05-03,No Answer
A02656,L0799,Website Visit,2026-05-03,Blog
A02657,L0805,Call,2026-05-03,No Answer
A02658,L0812,Email,2026-05-03,Replied
A02659,L0813,Website Visit,2026-05-03,Services Page
A02660,L0850,Email,2026-05-03,Opened
A02661,L0856,Website Visit,2026-05-03,Case Study
A02662,L0865,Call,2026-05-03,Connected
A02663,L0301,Website Visit,2026-05-04,Services Page
A02664,L0304,Email,2026-05-04,Opened
A02665,L0309,Meeting,2026-05-04,Completed
A02666,L0310,Website Visit,2026-05-04,Contact Page
A02667,L0316,Call,2026-05-04,Connected
A02668,L0326,Call,2026-05-04,Voicemail
A02669,L0335,Call,2026-05-04,No Answer
A02670,L0354,Website Visit,2026-05-04,Blog
A02671,L0359,Call,2026-05-04,No Answer
A02672,L0371,Website Visit,2026-05-04,Pricing Page
A02673,L0413,Meeting,2026-05-04,Completed
A02674,L0428,Call,2026-05-04,Voicemail
A02675,L0432,Email,2026-05-04,Replied
A02676,L0455,Call,2026-05-04,Voicemail
A02677,L0487,Website Visit,2026-05-04,Contact Page
A02678,L0491,Email,2026-05-04,Opened
A02679,L0497,Website Visit,2026-05-04,Pricing Page
A02680,L0515,Website Visit,2026-05-04,Case Study
A02681,L0518,Website Visit,2026-05-04,Pricing Page
A02682,L0588,Website Visit,2026-05-04,Blog
A02683,L0595,Meeting,2026-05-04,Completed
A02684,L0598,Call,2026-05-04,Voicemail
A02685,L0610,Meeting,2026-05-04,Completed
A02686,L0634,Call,2026-05-04,No Answer
A02687,L0642,Call,2026-05-04,No Answer
A02688,L0654,Website Visit,2026-05-04,Services Page
A02689,L0659,Website Visit,2026-05-04,Case Study
A02690,L0667,Call,2026-05-04,Callback Requested
A02691,L0671,Call,2026-05-04,No Answer
A02692,L0677,Call,2026-05-04,No Answer
A02693,L0699,Website Visit,2026-05-04,Contact Page
A02694,L0707,Email,2026-05-04,Replied
A02695,L0710,Email,2026-05-04,Bounced
A02696,L0714,Website Visit,2026-05-04,Services Page
A02697,L0749,Website Visit,2026-05-04,Case Study
A02698,L0767,Email,2026-05-04,No Response
A02699,L0768,Call,2026-05-04,No Answer
A02700,L0783,Call,2026-05-04,Callback Requested
A02701,L0826,Email,2026-05-04,No Response
A02702,L0853,Email,2026-05-04,No Response
A02703,L0859,Website Visit,2026-05-04,Blog
A02704,L0861,Website Visit,2026-05-04,Case Study
A02705,L0233,Email,2026-05-05,Replied
A02706,L0280,Call,2026-05-05,Callback Requested
A02707,L0292,Website Visit,2026-05-05,Case Study
A02708,L0303,Call,2026-05-05,Connected
A02709,L0310,Website Visit,2026-05-05,Blog
A02710,L0312,Call,2026-05-05,Voicemail
A02711,L0315,Email,2026-05-05,Opened
A02712,L0315,Website Visit,2026-05-05,Contact Page
A02713,L0320,Website Visit,2026-05-05,Services Page
A02714,L0340,Website Visit,2026-05-05,Case Study
A02715,L0345,Email,2026-05-05,Replied
A02716,L0351,Call,2026-05-05,No Answer
A02717,L0365,Website Visit,2026-05-05,Pricing Page
A02718,L0373,Website Visit,2026-05-05,Case Study
A02719,L0400,Email,2026-05-05,No Response
A02720,L0414,Website Visit,2026-05-05,Contact Page
A02721,L0429,Meeting,2026-05-05,Completed
A02722,L0445,Call,2026-05-05,No Answer
A02723,L0497,Website Visit,2026-05-05,Case Study
A02724,L0505,Website Visit,2026-05-05,Blog
A02725,L0516,Website Visit,2026-05-05,Contact Page
A02726,L0550,Email,2026-05-05,Replied
A02727,L0558,Website Visit,2026-05-05,Services Page
A02728,L0559,Email,2026-05-05,No Response
A02729,L0592,Email,2026-05-05,Opened
A02730,L0594,Website Visit,2026-05-05,Services Page
A02731,L0599,Email,2026-05-05,No Response
A02732,L0607,Call,2026-05-05,Callback Requested
A02733,L0609,Call,2026-05-05,Connected
A02734,L0626,Call,2026-05-05,Callback Requested
A02735,L0668,Email,2026-05-05,Opened
A02736,L0677,Call,2026-05-05,Callback Requested
A02737,L0692,Call,2026-05-05,No Answer
A02738,L0724,Website Visit,2026-05-05,Blog
A02739,L0746,Website Visit,2026-05-05,Blog
A02740,L0768,Website Visit,2026-05-05,Case Study
A02741,L0813,Email,2026-05-05,No Response
A02742,L0821,Email,2026-05-05,Opened
A02743,L0850,Email,2026-05-05,Opened
A02744,L0851,Call,2026-05-05,No Answer
A02745,L0855,Website Visit,2026-05-05,Services Page
A02746,L0861,Website Visit,2026-05-05,Pricing Page
A02747,L0870,Call,2026-05-05,Connected
A02748,L0872,Email,2026-05-05,No Response
A02749,L0244,Call,2026-05-06,Voicemail
A02750,L0346,Website Visit,2026-05-06,Services Page
A02751,L0355,Call,2026-05-06,Callback Requested
A02752,L0368,Website Visit,2026-05-06,Contact Page
A02753,L0371,Website Visit,2026-05-06,Blog
A02754,L0382,Website Visit,2026-05-06,Pricing Page
A02755,L0383,Meeting,2026-05-06,Completed
A02756,L0384,Call,2026-05-06,Connected
A02757,L0386,Meeting,2026-05-06,Completed
A02758,L0403,Call,2026-05-06,Not Interested
A02759,L0431,Email,2026-05-06,No Response
A02760,L0435,Website Visit,2026-05-06,Case Study
A02761,L0454,Email,2026-05-06,No Response
A02762,L0512,Call,2026-05-06,Connected
A02763,L0520,Email,2026-05-06,Replied
A02764,L0530,Website Visit,2026-05-06,Services Page
A02765,L0534,Email,2026-05-06,No Response
A02766,L0534,Website Visit,2026-05-06,Case Study
A02767,L0557,Website Visit,2026-05-06,Case Study
A02768,L0582,Call,2026-05-06,Connected
A02769,L0622,Meeting,2026-05-06,Completed
A02770,L0647,Email,2026-05-06,Opened
A02771,L0653,Website Visit,2026-05-06,Case Study
A02772,L0683,Email,2026-05-06,Bounced
A02773,L0697,Call,2026-05-06,Connected
A02774,L0714,Call,2026-05-06,No Answer
A02775,L0719,Website Visit,2026-05-06,Case Study
A02776,L0726,Email,2026-05-06,No Response
A02777,L0733,Call,2026-05-06,No Answer
A02778,L0736,Website Visit,2026-05-06,Blog
A02779,L0771,Call,2026-05-06,Callback Requested
A02780,L0785,Website Visit,2026-05-06,Case Study
A02781,L0830,Website Visit,2026-05-06,Pricing Page
A02782,L0839,Website Visit,2026-05-06,Pricing Page
A02783,L0869,Email,2026-05-06,No Response
A02784,L0872,Call,2026-05-06,Connected
A02785,L0877,Website Visit,2026-05-06,Blog
A02786,L0247,Email,2026-05-07,No Response
A02787,L0266,Email,2026-05-07,Opened
A02788,L0301,Call,2026-05-07,Connected
A02789,L0316,Email,2026-05-07,Replied
A02790,L0367,Call,2026-05-07,Connected
A02791,L0381,Call,2026-05-07,No Answer
A02792,L0418,Call,2026-05-07,Not Interested
A02793,L0429,Email,2026-05-07,Opened
A02794,L0432,Website Visit,2026-05-07,Contact Page
A02795,L0457,Email,2026-05-07,No Response
A02796,L0473,Website Visit,2026-05-07,Pricing Page
A02797,L0497,Website Visit,2026-05-07,Pricing Page
A02798,L0503,Call,2026-05-07,No Answer
A02799,L0506,Call,2026-05-07,Connected
A02800,L0506,Meeting,2026-05-07,Completed
A02801,L0511,Website Visit,2026-05-07,Services Page
A02802,L0512,Email,2026-05-07,Replied
A02803,L0559,Call,2026-05-07,Voicemail
A02804,L0589,Call,2026-05-07,Connected
A02805,L0589,Email,2026-05-07,No Response
A02806,L0589,Website Visit,2026-05-07,Blog
A02807,L0613,Email,2026-05-07,No Response
A02808,L0662,Website Visit,2026-05-07,Services Page
A02809,L0679,Email,2026-05-07,No Response
A02810,L0690,Website Visit,2026-05-07,Services Page
A02811,L0726,Website Visit,2026-05-07,Contact Page
A02812,L0728,Call,2026-05-07,Connected
A02813,L0732,Call,2026-05-07,Voicemail
A02814,L0768,Call,2026-05-07,Voicemail
A02815,L0782,Call,2026-05-07,No Answer
A02816,L0785,Meeting,2026-05-07,Completed
A02817,L0794,Website Visit,2026-05-07,Services Page
A02818,L0813,Website Visit,2026-05-07,Case Study
A02819,L0828,Website Visit,2026-05-07,Services Page
A02820,L0835,Website Visit,2026-05-07,Services Page
A02821,L0850,Website Visit,2026-05-07,Case Study
A02822,L0856,Website Visit,2026-05-07,Case Study
A02823,L0857,Call,2026-05-07,No Answer
A02824,L0861,Call,2026-05-07,Callback Requested
A02825,L0864,Email,2026-05-07,Replied
A02826,L0894,Email,2026-05-07,Opened
A02827,L0287,Website Visit,2026-05-08,Blog
A02828,L0289,Website Visit,2026-05-08,Services Page
A02829,L0323,Website Visit,2026-05-08,Services Page
A02830,L0383,Website Visit,2026-05-08,Case Study
A02831,L0385,Website Visit,2026-05-08,Services Page
A02832,L0394,Website Visit,2026-05-08,Blog
A02833,L0416,Meeting,2026-05-08,Rescheduled
A02834,L0426,Meeting,2026-05-08,Completed
A02835,L0465,Call,2026-05-08,Voicemail
A02836,L0547,Call,2026-05-08,Connected
A02837,L0550,Call,2026-05-08,Connected
A02838,L0565,Website Visit,2026-05-08,Pricing Page
A02839,L0601,Email,2026-05-08,Replied
A02840,L0610,Website Visit,2026-05-08,Services Page
A02841,L0613,Website Visit,2026-05-08,Case Study
A02842,L0629,Call,2026-05-08,Voicemail
A02843,L0665,Website Visit,2026-05-08,Pricing Page
A02844,L0671,Call,2026-05-08,Connected
A02845,L0682,Website Visit,2026-05-08,Services Page
A02846,L0684,Call,2026-05-08,Callback Requested
A02847,L0687,Call,2026-05-08,Callback Requested
A02848,L0695,Call,2026-05-08,Connected
A02849,L0708,Website Visit,2026-05-08,Pricing Page
A02850,L0709,Call,2026-05-08,Connected
A02851,L0763,Call,2026-05-08,Connected
A02852,L0769,Call,2026-05-08,Connected
A02853,L0773,Email,2026-05-08,Replied
A02854,L0788,Email,2026-05-08,No Response
A02855,L0813,Email,2026-05-08,Opened
A02856,L0851,Website Visit,2026-05-08,Pricing Page
A02857,L0868,Email,2026-05-08,No Response
A02858,L0869,Email,2026-05-08,No Response
A02859,L0884,Call,2026-05-08,No Answer
A02860,L0901,Call,2026-05-08,Connected
A02861,L0266,Call,2026-05-09,Voicemail
A02862,L0310,Email,2026-05-09,No Response
A02863,L0373,Meeting,2026-05-09,Completed
A02864,L0379,Call,2026-05-09,No Answer
A02865,L0379,Email,2026-05-09,Opened
A02866,L0382,Website Visit,2026-05-09,Case Study
A02867,L0399,Email,2026-05-09,No Response
A02868,L0409,Website Visit,2026-05-09,Blog
A02869,L0445,Call,2026-05-09,No Answer
A02870,L0479,Email,2026-05-09,Replied
A02871,L0511,Website Visit,2026-05-09,Pricing Page
A02872,L0525,Website Visit,2026-05-09,Contact Page
A02873,L0538,Call,2026-05-09,Connected
A02874,L0541,Website Visit,2026-05-09,Blog
A02875,L0546,Email,2026-05-09,No Response
A02876,L0550,Website Visit,2026-05-09,Contact Page
A02877,L0569,Website Visit,2026-05-09,Case Study
A02878,L0589,Email,2026-05-09,Opened
A02879,L0607,Email,2026-05-09,No Response
A02880,L0638,Call,2026-05-09,Callback Requested
A02881,L0653,Meeting,2026-05-09,Completed
A02882,L0658,Website Visit,2026-05-09,Services Page
A02883,L0699,Call,2026-05-09,Connected
A02884,L0702,Call,2026-05-09,Callback Requested
A02885,L0712,Call,2026-05-09,Callback Requested
A02886,L0725,Call,2026-05-09,No Answer
A02887,L0727,Email,2026-05-09,Opened
A02888,L0758,Call,2026-05-09,Connected
A02889,L0764,Call,2026-05-09,Voicemail
A02890,L0765,Call,2026-05-09,Connected
A02891,L0784,Website Visit,2026-05-09,Services Page
A02892,L0816,Call,2026-05-09,Connected
A02893,L0831,Website Visit,2026-05-09,Services Page
