Lead_ID,Company_Name,Industry,Company_Size,Location,Lead_Source,Service_Interest,Annual_Revenue_Cr,Lead_Created_Date,Lead_Stage,Follow_Up_Status,Next_Follow_Up_Date,Sales_Rep_ID,Deal_Value,Conversion
L0534,Drift Industries,Healthcare,1000+,Chennai ,Email Campaign,Cybersecurity,1354.0,2026-03-22,Proposal,Not Interested,,SR07,1820000.0,No
L0535,Loop Health,HEALTHCARE,501-1000,Delhi,Website,Software Development,519.7,2026-03-22,Qualified,Follow-up Required,2026-09-23,SR03,,No
L0536,Ember Wealth Tech,FinTech,51-200,Noida,Referral,DevOps,38.8,2026-03-23,Meeting,Meeting Scheduled,2026-09-22,SR10,,No
L0537,Tundra Payments,FinTech,51-200,Delhi,Website,Cloud Services,33.6,2026-03-23,Meeting,Waiting for Response,2026-09-11,SR05,,No
L0538,Gravity Pvt Ltd,Manufacturing,1000+,Delhi,Email Campaign,Digital Transformation,2071.3,2026-03-23,Contacted,Not Interested,,SR01,,No
L0539,Bluepeak Wealth Tech,FinTech,501-1000,Chennai,Cold Calling,DevOps,599.9,2026-03-23,Meeting,Waiting for Response,2026-10-07,SR08,,No
L0540,Flux Health,Healthcare,201-500,Jaipur,Cold Calling,Cybersecurity,110.5,2026-03-23,Contacted,Waiting for Response,2026-09-01,SR05,,No
L0541,Zeal Global,E-commerce,51-200,Delhi,LinkedIn,DevOps,13.7,2026-03-23,Contacted,Follow-up Required,2026-10-09,SR01,,No
L0542,Apex Systems,Healthcare,1-50,Bengaluru,Cold Calling,Digital Transformation,7.9,2026-03-23,Contacted,Waiting for Response,2026-10-01,SR08,,No
L0543,Astra Brands,Retail,51-200,Hyderabad,cold calling,Software Development,12.6,2026-03-24,New,Follow-up Required,2026-10-03,SR07,,No
L0544,Jade Group,Retail,501-1000,Hyderabad,Cold Calling,Cloud Services,,2026-03-24,Contacted,Follow-up Required,2026-09-29,SR07,,No
L0545,Echo Ventures,FinTech,201-500,Ahmedabad,Cold Calling,Cybersecurity,154.6,2026-03-24,New,Follow-up Required,2026-09-18,SR02,,No
L0546,Aurora Engineering,Manufacturing,1-50,Delhi,LinkedIn,Digital Transformation,4.5,2026-03-24,Qualified,Waiting for Response,2026-09-14,SR10,,No
L0547,Vayu Global,SaaS,501-1000,Hyderabad,LinkedIn,Digital Transformation,202.1,2026-03-24,Contacted,Waiting for Response,2026-09-28,SR04,,No
L0548,Umbra Ventures,Manufacturing,1-50,Gurgaon,Cold Calling,Digital Transformation,9.7,2026-03-24,Meeting,Not Interested,,SR03,,No
L0549,Aryan Industries,E-COMMERCE,201-500,Pune,Events,Software Development,144.6,2026-03-24,New,Follow-up Required,2026-09-19,SR06,,No
L0550,Neptune Global,Healthcare,1000+,Ahmedabad,Email Campaign,Software Development,,2026-03-24,Contacted,Contacted,2026-09-19,SR06,,No
L0551,Alpine Systems,E-commerce,51-200,Bengaluru,Website,Digital Transformation,55.6,2026-03-25,New,Follow-up Required,2026-09-23,SR08,,No
L0552,Vayu Softech,Retail,201-500,Bengaluru,Email Campaign,Cloud Services,,2026-03-25,New,Follow-up Required,2026-09-30,SR04,,No
L0553,Jolt Cloudware,SaaS,201-500,Delhi,LinkedIn,Cloud Services,114.9,2026-03-25,Won,Closed,,SR03,1305000.0,Yes
L0554,Titan Solutions, Healthcare,51-200,Delhi,Events,Software Development,23.6,2026-03-25,Contacted,Contacted,2026-09-19,SR05,,No
L0555,Evergreen Ventures,SaaS,51-200,Pune ,Google Search,DevOps,52.6,2026-03-25,Contacted,Contacted,2026-09-30,SR09,,No
L0556,Wavelet Industries,Logistics,201-500,Pune,Cold Calling,Digital Transformation,47.6,2026-03-25,Proposal,Follow-up Required,2026-08-31,SR02,1175000.0,No
L0557,Zephyr Industries,SaaS,1-50,Chennai,Referral,Cloud Services,11.2,2026-03-25,Won,Closed,,SR04,270000.0,Yes
L0558,Gravity Softech,Manufacturing,501-1000,Delhi,LinkedIn,DevOps,397.7,2026-03-25,Meeting,Meeting Scheduled,2026-09-26,SR03,,No
L0559,Himalaya Systems,Education,201-500,Delhi,LinkedIn,DevOps,75.9,2026-03-25,Meeting,Meeting Scheduled,2026-09-27,SR05,,No
L0560,Wisp Networks,FINTECH,51-200,Chennai,LinkedIn,Digital Transformation,43.5,2026-03-25,Contacted,Waiting for Response,2026-10-06,SR08,,No
L0561,Relay Pvt Ltd,Logistics,1-50,Gurgaon,Email Campaign,Digital Transformation,10.1,2026-03-25,New,Follow-up Required,2026-10-10,SR01,,No
L0562,Flux Global,Retail,51-200,Mumbai,Referral,Digital Transformation,56.4,26/03/2026,Contacted,Follow-up Required,2026-09-19,SR02,,No
L0563,Indus Software,saas,1-50,Pune,cold calling,DevOps,5.9,2026-03-26,New,Follow-up Required,2026-09-23,SR09,,No
L0564,Nimbus Enterprises,E-commerce,51-200,Bengaluru,Events,Software Development,21.2,2026-03-26,Meeting,Waiting for Response,2026-10-03,SR07,,No
L0565,Spark Retail,Retail,51-200,Bengaluru,Cold Calling,Software Development,15.8,2026-03-26,New,Follow-up Required,2026-10-02,SR08,,No
L0566,Umbra Global, Education,201-500,Delhi,Referral,Cybersecurity,123.8,2026-03-26,Won,Closed,,SR03,1060000.0,Yes
L0567,Alpine Technologies,Retail,1000+,Pune,Email Campaign,Digital Transformation,2303.0,2026-03-27,New,Follow-up Required,2026-09-20,SR09,,No
L0568,Umbra Labs,Retail,1-50,Mumbai ,Website,Digital Transformation,7.1,2026-03-27,Qualified,Follow-up Required,2026-09-06,SR02,,No
L0569,Meridian Cargo,Logistics,1000+,Ahmedabad,Referral,Cybersecurity,2965.4,2026-03-27,Meeting,Meeting Scheduled,2026-09-25,SR06,,No
L0570,Quantum Cloudware,SaaS,501-1000,Noida,Website,Cloud Services,310.7,2026-03-27,Qualified,Not Interested,,SR01,,No
L0571,Nimbus Technologies,Education,51-200,,Email Campaign,Cloud Services,22.9,2026-03-27,New,Follow-up Required,2026-09-21,SR10,,No
L0572,Ember Networks,FinTech,51-200,Delhi,Website,Cybersecurity,23.4,2026-03-27,Contacted,Follow-up Required,2026-09-26,SR05,,No
L0573,Yash Supply Chain,Logistics,1000+,Pune,Referral,Digital Transformation,664.5,2026-03-27,Contacted,Not Interested,,SR02,,No
L0574,Kestrel Finserv,fintech,201-500,Noida,Cold Calling,Cloud Services,194.3,2026-03-27,Proposal,Waiting for Response,24/09/2026,SR05,820000.0,No
L0575,Echo Enterprises,Manufacturing,1-50,Delhi,website,Digital Transformation,,2026-03-27,New,Follow-up Required,2026-09-21,SR10,,No
L0576,Spark Technologies,Healthcare,501-1000,Bengaluru,LinkedIn,Cybersecurity,353.0,2026-03-28,Qualified,Waiting for Response,2026-09-04,SR04,,No
L0577,Oasis Solutions,e-commerce,201-500,Ahmedabad,Cold Calling,Software Development,192.8,2026-03-28,Meeting,Not Interested,,SR02,,No
L0578,Prana Cargo,Logistics,51-200,Noida,Cold Calling,Digital Transformation,27.0,2026-03-28,Contacted,Waiting for Response,2026-10-03,SR01,,No
L0579,Cobalt Brands,Retail,201-500,Delhi,Cold Calling,Digital Transformation,50.8,2026-03-28,New,Follow-up Required,2026-09-25,SR03,,No
L0580,Yonder Global,FinTech,1-50,Chennai,Email Campaign,Cybersecurity,6.3,2026-03-28,Contacted,Follow-up Required,2026-09-20,SR04,,No
L0581,Helix Group,Education,1-50,Bengaluru,Cold Calling,Digital Transformation,2.4,2026-03-28,Contacted,Contacted,2026-09-19,SR04,,No
L0582,Vanguard Softech,MANUFACTURING,1000+,Delhi,Events,Cloud Services,578.1,2026-03-28,Contacted,Contacted,2026-09-14,SR01,,No
L0583,Kestrel Commerce,E-commerce,1-50,Bangalore,LinkedIn,Software Development,6.0,2026-03-28,New,Follow-up Required,2026-09-14,SR04,,No
L0584,Lotus Online,e-commerce,51-200,Pune,Google Search,Cloud Services,15.2,2026-03-28,Meeting,Waiting for Response,2026-10-07,SR09,,No
L0585,Pulse MedTech,Healthcare,201-500,Mumbai,Email Campaign,Cybersecurity,54.6,2026-03-28,Meeting,Waiting for Response,2026-10-06,SR09,,No
L0586,Sagar Health,Healthcare,201-500,Ahmedabad,Email Campaign,Cybersecurity,125.9,2026-03-28,New,Follow-up Required,2026-10-05,SR09,,No
L0587,Hive Labs,SaaS,1-50,Pune,Cold Calling,Cloud Services,14.6,2026-03-29,Contacted,Contacted,2026-10-02,SR09,,No
L0588,Bolt Global,E-commerce,51-200,Jaipur,Cold Calling,Software Development,14.6,2026-03-29,Contacted,Follow-up Required,2026-09-19,SR03,,No
L0589,Willow Pvt Ltd,FinTech,51-200,Mumbai,Google Search,DevOps,52.0,2026-03-29,Won,Closed,,SR02,310000.0,Yes
L0590,Titan Enterprises,Logistics ,201-500,Bengaluru,email campaign,Cybersecurity,109.1,2026-03-29,New,Follow-up Required,2026-10-10,SR08,,No
L0591,Helix Global,Logistics,201-500,Pune,LinkedIn,Cloud Services,83.5,2026-03-29,Meeting,Not Interested,,SR02,,No
L0592,Vivid Cloudware,SaaS,1-50,Chennai,Website,DevOps,14.0,2026-03-29,Qualified,Follow-up Required,2026-10-05,SR04,,No
L0593,Pulse Networks,Retail,1-50,Mumbai,LinkedIn,Software Development,10.5,2026-03-29,Contacted,Follow-up Required,2026-10-01,SR02,,No
L0594,Crest Components,Manufacturing,1-50,Bengaluru,Events,Digital Transformation,8.3,2026-03-29,Qualified,Contacted,2026-09-16,SR08,,No
L0595,Zest Systems,Education,51-200,Pune,LinkedIn,Cloud Services,45.1,2026-03-30,Meeting,Meeting Scheduled,2026-09-25,SR02,,No
L0596,Horizon Manufacturing,Manufacturing,51-200,Bengaluru,Google Search,Software Development,58.2,2026-03-30,Qualified,Not Interested,,SR04,,No
L0597,Banyan Softech,Healthcare,201-500,Hyderabad,Email Campaign,Digital Transformation,153.5,2026-03-30,New,Follow-up Required,2026-09-28,SR04,,No
L0598,Crest Care Systems,Healthcare,501-1000,Hyderabad,LinkedIn,Digital Transformation,504.6,2026-03-30,Qualified,Not Interested,,SR07,,No
L0599,Gravity Cloudware,SAAS,501-1000,Ahmedabad,LinkedIn,Cloud Services,455.1,2026-03-30,Meeting,Waiting for Response,2026-09-23,SR09,,No
L0600,Cedar Technologies,Manufacturing,1-50,Gurgaon,Website,Cloud Services,12.0,2026-03-30,Contacted,Follow-up Required,2026-09-13,SR10,,No
L0601,Tundra Commerce,E-commerce,51-200,Jaipur,LinkedIn,Cybersecurity,19.5,2026-03-30,Qualified,Waiting for Response,26/09/2026,SR01,,No
L0602,Crest Group,Healthcare,201-500,Bengaluru,Website,Digital Transformation,162.2,2026-03-31,Meeting,Not Interested,,SR04,,No
L0603,Vista Systems,E-commerce,201-500,Chennai,Email Campaign,DevOps,124.1,2026-03-31,Contacted,Contacted,2026-09-25,SR08,,No
L0604,Lotus Systems,Education,1-50,Mumbai,Cold Calling,Cloud Services,14.2,2026-03-31,New,Follow-up Required,2026-09-23,SR02,,No
L0605,Trident Retail,Retail,51-200,Mumbai,Cold Calling,DevOps,32.9,2026-03-31,Contacted,Waiting for Response,2026-09-14,SR06,,No
L0606,Zeal Group,SaaS,1-50,Gurugram,Google Search,DevOps,12.0,2026-03-31,New,Follow-up Required,2026-10-05,SR01,,No
L0607,Uday Pvt Ltd,E-commerce,1000+,Bengaluru,LinkedIn,Software Development,1611.9,2026-03-31,Proposal,Closed,,SR07,1980000.0,No
L0608,Vertex Industrial,Manufacturing,501-1000,Pune,Events,Cloud Services,484.1,2026-03-31,New,Follow-up Required,2026-10-03,SR09,,No
L0609,Gravity Solutions,SaaS,51-200,Mumbai,Website,Software Development,49.1,2026-03-31,Meeting,Contacted,2026-10-06,SR09,,No
L0610,Mosaic Diagnostics,Healthcare,51-200,Ahmedabad,EMAIL CAMPAIGN,Cybersecurity,31.7,2026-04-01,Meeting,Meeting Scheduled,2026-09-25,SR09,,No
L0611,Gravity Systems,FINTECH,201-500,Delhi,linkedin,Cybersecurity,193.5,2026-04-01,Proposal,Not Interested,,SR01,905000.0,No
L0612,Loop Finserv,FinTech,1-50,Bengaluru,Google Search,Software Development,11.7,2026-04-01,Qualified,Contacted,2026-09-09,SR07,,No
L0613,Flux Mart,Retail,51-200,Bangalore,linkedin,Cybersecurity,13.8,2026-04-01,Won,Closed,,SR08,760000.0,Yes
L0614,Urban Software,SaaS,201-500,Mumbai,Cold Calling,Software Development,57.7,2026-04-01,Contacted,Follow-up Required,2026-09-08,SR09,,No
L0615,Neptune Networks,SAAS,1000+,Bengaluru,Cold Calling,Software Development,2785.2,2026-04-01,New,Follow-up Required,2026-09-26,SR04,,No
L0616,Yash Health,Healthcare,201-500,Hyderabad,Google Search,Cybersecurity,178.7,2026-04-01,Won,Closed,,SR04,1060000.0,Yes
L0617,Crest Wealth Tech,FinTech,51-200,Chennai,Events,Digital Transformation,47.9,2026-04-02,Contacted,Waiting for Response,2026-09-30,SR04,,No
L0618,Rudra Group,E-commerce,201-500,Ahmedabad,Email Campaign,DevOps,62.7,2026-04-02,New,Follow-up Required,2026-09-22,SR09,,No
L0619,Hive Industries,E-commerce,201-500,Jaipur,Events,Cloud Services,182.9,2026-04-02,New,Follow-up Required,2026-09-15,SR10,,No
L0620,Urban Technologies,Healthcare,201-500,Gurgaon,Email Campaign,DevOps,73.9,2026-04-02,Meeting,Meeting Scheduled,2026-09-23,SR10,,No
L0621,Unity Systems,Healthcare,201-500,Pune,Website,Software Development,139.8,2026-04-02,New,Follow-up Required,2026-09-26,SR06,,No
L0622,Flux Enterprises,Education,1-50,Chennai,Website,Digital Transformation,,2026-04-03,Proposal,Waiting for Response,2026-09-25,SR04,420000.0,No
L0623,Zeal Labs,Education,1000+,Pune,LinkedIn,DevOps,2105.3,2026-04-03,Contacted,Waiting for Response,2026-09-25,SR06,,No
L0624,Wavelet Payments,FinTech,1-50,Bengaluru,Website,DevOps,7.5,2026-04-03,Contacted,Follow-up Required,2026-09-19,SR08,,No
L0625,Mantra Apps,SaaS,1-50,Chennai,Cold Calling,DevOps,,2026-04-03,New,Follow-up Required,2026-09-26,SR04,,No
L0626,Ekam Technologies,Education,501-1000,Hyderabad,Events,Software Development,596.9,2026-04-03,Proposal,Not Interested,,SR08,2140000.0,No
L0627,Wisp Softech,Manufacturing,51-200,Mumbai,Email Campaign,Software Development,22.0,2026-04-03,New,Follow-up Required,2026-10-04,SR09,,No
L0628,Jade Networks,SaaS,501-1000,Delhi,Cold Calling,Cloud Services,,2026-04-03,New,Follow-up Required,2026-09-19,SR05,,No
L0629,Glide Labs,SaaS,1-50,Bengaluru,LinkedIn,Cloud Services,8.1,2026-04-03,Qualified,Not Interested,,SR04,,No
L0630,Chakra Technologies,Retail,201-500,Hyderabad,Email Campaign,Digital Transformation,79.2,2026-04-04,New,Follow-up Required,2026-10-01,SR08,,No
L0631,Garuda Networks,Education,201-500,Gurgaon,Website,Digital Transformation,81.6,2026-04-04,Contacted,Follow-up Required,2026-10-01,SR01,,No
L0632,Onyx Ventures,Manufacturing,501-1000,Mumbai,Referral,Digital Transformation,333.8,2026-04-04,New,Follow-up Required,2026-09-20,SR09,,No
L0633,Horizon Networks,Manufacturing,201-500,Bengaluru,Events,Digital Transformation,69.0,2026-04-04,Qualified,Waiting for Response,2026-09-19,SR04,,No
L0634,Nimbus Group ,E-commerce,51-200,Mumbai,Cold Calling,Digital Transformation,49.0,2026-04-04,Contacted,Waiting for Response,2026-09-19,SR09,,No
L0635,Prism Cloudware,SaaS,51-200,Bengaluru,Referral,Cybersecurity,56.5,2026-04-04,New,Follow-up Required,2026-09-05,SR07,,No
L0636,Tundra Global,FinTech,1-50,Delhi,Referral,Digital Transformation,12.4,2026-04-04,Contacted,Waiting for Response,2026-09-02,SR05,,No
L0637,Novus Technologies,Healthcare,1000+,Hyderabad,Referral,Digital Transformation,1149.8,2026-04-04,Proposal,Not Interested,,SR07,1815000.0,No
L0638,Bharat Engineering ,Manufacturing,1000+,Gurgaon,Email Campaign,Digital Transformation,2809.4,2026-04-04,Qualified,Contacted,2026-09-30,SR05,,No
L0639,Vertex Networks,Education,1-50,Delhi,LinkedIn,Cybersecurity,14.8,2026-04-05,New,Follow-up Required,2026-08-31,SR03,,No
L0640,Lumina Capital Tech,FinTech,1000+,Bengaluru,Cold Calling,Cybersecurity,2720.4,2026-04-05,Contacted,Follow-up Required,2026-09-25,SR04,,No
L0641,Titan Ventures,FinTech,201-500,Delhi,cold calling,Software Development,87.0,2026-04-05,Meeting,Waiting for Response,2026-09-06,SR10,,No
L0642,Mantra Industries,Manufacturing,1-50,Bengaluru,Email Campaign,DevOps,11.3,2026-04-05,Qualified,Contacted,2026-09-15,SR07,,No
L0643,Echo Software,SaaS ,1-50,Gurgaon,Email Campaign,Cybersecurity,13.9,2026-04-05,New,Follow-up Required,2026-09-27,SR10,,No
L0644,Paragon Cargo,Logistics,1000+,Delhi,email campaign,Digital Transformation,1148.1,2026-04-05,New,Follow-up Required,2026-09-25,SR10,,No
L0645,Banyan Solutions,FinTech,51-200,Bengaluru,LinkedIn,Digital Transformation,32.6,2026-04-05,Contacted,Not Interested,,SR08,,No
L0646,Quest Software,SaaS,201-500,Delhi,Google Search,Cloud Services,106.9,2026-04-05,Meeting,Waiting for Response,2026-10-10,SR03,,No
L0647,Solace Ventures,E-commerce,51-200,Delhi,Referral,Cloud Services,27.8,2026-04-06,Meeting,Not Interested,,SR05,,No
L0648,Novus Ventures,Logistics,1-50,Mumbai,Referral,Digital Transformation,4.1,2026-04-06,Contacted,Waiting for Response,2026-10-06,SR06,,No
L0649,Delta Capital Tech,FinTech,501-1000,Chennai,Cold Calling,Cloud Services,506.5,2026-04-06,Contacted,Contacted,2026-09-22,SR08,,No
L0650,Umbra Industrial,Manufacturing,501-1000,Gurgaon,Cold Calling,Cloud Services,,2026-04-06,Contacted,Waiting for Response,2026-10-06,SR05,,No
L0651,Nimbus Care Systems,Healthcare,201-500,Delhi,LinkedIn,Cybersecurity,137.2,2026-04-06,Contacted,Follow-up Required,2026-10-06,SR01,,No
L0652,Kinetic Ventures,E-commerce,1-50,Delhi,Email Campaign,Software Development,14.3,2026-04-06,Contacted,Not Interested,,SR10,,No
L0653,Ekam Industries,FinTech,1000+,Delhi,Website,Digital Transformation,915.7,2026-04-06,Won,Closed,,SR01,1860000.0,Yes
L0654,Aurora Group,Healthcare,201-500,Bengaluru,Cold Calling,Cybersecurity,91.4,2026-04-06,Proposal,Waiting for Response,2026-10-08,SR04,870000.0,No
L0655,Banyan Enterprises,SaaS,1000+,Gurugram,LinkedIn,Cloud Services,1358.1,2026-04-06,Contacted,Follow-up Required,2026-09-08,SR01,,No
L0656,Lotus Pvt Ltd,Education,501-1000,Delhi,LinkedIn,Cloud Services,404.4,2026-04-06,New,Follow-up Required,2026-09-16,SR05,,No
L0657,Uday Software,SaaS,51-200,Delhi,LinkedIn,Software Development,39.6,2026-04-07,Contacted,Contacted,2026-10-05,SR03,,No
L0658,Dhruv Solutions,Manufacturing,1-50,Noida ,LinkedIn,Digital Transformation,4.9,2026-04-07,Qualified,Waiting for Response,2026-10-10,SR10,,No
L0659,Paragon Finserv,FinTech,1000+,Delhi,LinkedIn,Cybersecurity,760.5,2026-04-07,Meeting,Follow-up Required,2026-10-04,SR01,,No
L0660,Astra Technologies,Retail,51-200,Mumbai,Website,Cloud Services,50.0,2026-04-07,Contacted,Follow-up Required,2026-10-08,SR06,,No
L0661,Zest Labs,Education,1-50,Bengaluru,Website,Digital Transformation,7.4,2026-04-07,Contacted,Waiting for Response,2026-10-10,SR08,,No
L0662,Kestrel Labs,Healthcare,501-1000,Pune,Events,Cybersecurity,306.8,2026-04-08,Proposal,Waiting for Response,2026-09-26,SR06,1995000.0,No
L0663,Flux Systems,Healthcare,501-1000,Bengaluru,Website,Cybersecurity,363.1,2026-04-08,Contacted,Waiting for Response,2026-09-28,SR07,,No
L0664,Mosaic Enterprises,SaaS,1-50,Hyderabad,Referral,DevOps,2.4,2026-04-08,Contacted,Contacted,2026-09-20,SR07,,No
L0665,Lakshya Marketplace,e-commerce,1-50,Hyderabad,Referral,Cybersecurity,4.5,2026-04-08,Won,Closed,,SR07,190000.0,Yes
L0666,Hive Global,Logistics,51-200,Bengaluru,Cold Calling,Cybersecurity,20.7,2026-04-08,Contacted,Contacted,2026-10-09,SR08,,No
L0667,Vivid Finserv,FinTech,1-50,Hyderabad,Website,Software Development,4.8,2026-04-08,Contacted,Not Interested,,SR08,,No
L0668,Orbit Industrial,Manufacturing,51-200,Noida,Referral,Cloud Services,48.3,2026-04-08,Meeting,Not Interested,,SR10,,No
L0669,Kaveri Manufacturing,Manufacturing,51-200,Bengaluru,Email Campaign,Digital Transformation,27.4,2026-04-08,Contacted,Contacted,2026-09-23,SR07,,No
L0670,Yash Mart,Retail,1-50,Mumbai ,LinkedIn,Cloud Services,6.9,2026-04-08,New,Follow-up Required,19/09/2026,SR06,,No
L0671,Zest Retail,Retail,51-200,Noida,Google Search,Cloud Services,21.3,2026-04-08,Won,Closed,,SR03,695000.0,Yes
L0672,Lotus Knowledge,Education,1-50,Bengaluru,LinkedIn,Digital Transformation,13.5,2026-04-09,New,Follow-up Required,2026-09-04,SR04,,No
L0673,Paragon Mart,Retail,51-200,Chennai,Referral,Digital Transformation,20.9,2026-04-09,Qualified,Contacted,2026-09-30,SR04,,No
L0674,Mantra Solutions,Healthcare,201-500,Bengaluru,Email Campaign,Digital Transformation,60.1,2026-04-09,Contacted,Waiting for Response,2026-09-28,SR08,,No
L0675,Jolt Enterprises,Retail,51-200,Jaipur,Cold Calling,Cybersecurity,55.7,2026-04-09,New,Follow-up Required,2026-09-19,SR01,,No
L0676,Trident Technologies,SaaS,1000+,Mumbai,Email Campaign,DevOps,867.0,2026-04-09,New,Follow-up Required,2026-10-08,SR06,,No
L0677,Oasis Softech,FinTech,501-1000,Delhi,Google Search,Cybersecurity,457.9,2026-04-09,Meeting,Meeting Scheduled,2026-09-21,SR01,,No
L0678,Alpine Diagnostics,Healthcare,501-1000,Pune,LinkedIn,Cybersecurity,582.5,2026-04-09,Won,Closed,,SR09,1345000.0,Yes
L0679,Kestrel Technologies,SaaS,1-50,Jaipur,Email Campaign,Software Development,2.0,2026-04-09,Qualified,Contacted,2026-10-05,SR10,,No
L0680,Wavelet Technologies,SaaS,51-200,Gurgaon,Cold Calling,Software Development,45.7,2026-04-09,New,Follow-up Required,2026-10-05,SR03,,No
L0681,Hive Technologies,SaaS,51-200,Bengaluru,Email Campaign,Cloud Services,25.2,2026-04-09,Qualified,Waiting for Response,2026-10-01,SR04,,No
L0682,Orbit Industries,SaaS,201-500,Bengaluru,Cold Calling,DevOps,94.1,2026-04-09,Meeting,Meeting Scheduled,2026-09-20,SR04,,No
L0683,Mantra Pvt Ltd,FinTech,501-1000,Mumbai,Website,Digital Transformation,477.5,2026-04-09,Won,Closed,,SR06,1240000.0,Yes
L0684,Unity Pvt Ltd,Retail,501-1000,Bengaluru,linkedin,Cloud Services,322.6,2026-04-10,Qualified,Waiting for Response,2026-08-30,SR04,,No
L0685,Alpine Industries,Education,51-200,Bangalore,Email Campaign,Software Development,25.0,2026-04-10,New,Follow-up Required,2026-09-05,SR07,,No
L0686,Novus Manufacturing,Manufacturing,51-200,Mumbai,Google Search,Software Development,46.3,2026-04-10,Contacted,Not Interested,,SR09,,No
L0687,Garuda Softech,FinTech,51-200,Hyderabad,Cold Calling,Cloud Services,39.1,2026-04-10,Qualified,Meeting Scheduled,2026-09-22,SR08,,No
L0688,Helix Networks,SaaS,51-200,Delhi,Email Campaign,Cloud Services,17.5,2026-04-10,Won,Closed,,SR05,435000.0,Yes
L0689,Chakra Networks,FinTech,51-200,Hyderabad,Cold Calling,Cloud Services,18.1,2026-04-10,Contacted,Not Interested,,SR04,,No
L0690,Tundra Ventures,fintech,51-200,Delhi,Email Campaign,Software Development,42.7,2026-04-10,Qualified,Waiting for Response,2026-09-23,SR01,,No
L0691,Quantum Academy Systems,Education,1000+,Mumbai,Email Campaign,Cybersecurity,2955.9,2026-04-10,Contacted,Contacted,2026-10-06,SR09,,No
L0692,Thrive Ventures,Healthcare,201-500,Bengaluru,Google Search,Digital Transformation,150.5,2026-04-10,Contacted,Follow-up Required,2026-09-27,SR07,,No
L0693,Drift Online,E-commerce,51-200,Pune,LinkedIn,DevOps,38.4,2026-04-10,Qualified,Waiting for Response,2026-09-21,SR06,,No
L0694,Unity Global,Healthcare,201-500,Chennai,LinkedIn,Cybersecurity,,10/04/2026,New,Follow-up Required,20/09/2026,SR07,,No
L0695,Radiant Enterprises,healthcare,51-200,Delhi,Google Search,Digital Transformation,42.1,2026-04-10,Qualified,Follow-up Required,2026-09-28,SR03,,No
L0696,Thrive Labs,Logistics,51-200,Hyderabad,Cold Calling,Software Development,57.4,2026-04-10,Meeting,Follow-up Required,2026-09-30,SR08,,No
L0697,Unity Industries,SaaS,1-50,Pune,LinkedIn,Cloud Services,14.4,2026-04-11,Meeting,Meeting Scheduled,2026-09-28,SR06,,No
L0698,Lakshya Ventures,Logistics,501-1000,Gurgaon,Email Campaign,Cybersecurity,293.8,2026-04-11,Proposal,Follow-up Required,2026-09-19,SR10,1980000.0,No
L0699,Madhav Technologies,Healthcare,201-500,Mumbai,Google Search,Digital Transformation,146.2,2026-04-11,Meeting,Meeting Scheduled,2026-09-20,SR06,,No
L0700,Kaveri Enterprises,Manufacturing,51-200,Hyderabad,Referral,Digital Transformation,60.0,2026-04-11,New,Follow-up Required,2026-10-10,SR07,,No
L0701,Bluepeak Industries,SaaS,1-50,Bengaluru,Cold Calling,DevOps,3.6,2026-04-11,Qualified,Follow-up Required,2026-09-29,SR07,,No
L0702,Neptune Group,E-commerce,1-50,Mumbai,Events,Digital Transformation,7.5,2026-04-11,Won,Closed,,SR09,335000.0,Yes
L0703,Madhav Softech,SaaS,1-50,Gurgaon,Referral,DevOps,10.2,2026-04-11,Contacted,Waiting for Response,2026-09-02,SR05,,No
L0704,Lumina Knowledge,Education,1-50,,Cold Calling,DevOps,8.6,2026-04-12,Qualified,Follow-up Required,2026-09-20,SR02,,No
L0705,Mosaic Systems,SAAS,1-50,Mumbai,Email Campaign,Cybersecurity,10.6,2026-04-12,New,Follow-up Required,2026-09-19,SR02,,No
L0706,Urban Ventures,Retail,201-500,Ahmedabad ,Email Campaign,Digital Transformation,123.6,2026-04-12,Qualified,Waiting for Response,2026-09-29,SR02,,No
L0707,Glide Cloudware,SaaS,1-50,Hyderabad,LinkedIn,Digital Transformation,4.2,2026-04-12,Meeting,Waiting for Response,2026-09-10,SR08,,No
L0708,Crest Payments, FinTech,1-50,Bengaluru,Referral,Cloud Services,3.7,2026-04-12,Meeting,Waiting for Response,2026-09-30,SR08,,No
L0709,Horizon Enterprises,FinTech,1-50,Bengaluru,LinkedIn,DevOps,3.1,2026-04-13,Meeting,Not Interested,,SR08,,No
L0710,Vivid Solutions,education,501-1000,Mumbai,Email Campaign,Digital Transformation,163.9,2026-04-13,Qualified,Contacted,2026-10-09,SR06,,No
L0711,Alpine Labs,Retail,1000+,Noida,Events,Cybersecurity,2729.9,13/04/2026,Qualified,Follow-up Required,2026-09-14,SR01,,No
L0712,Radiant Technologies,Retail,201-500,Bangalore,Email Campaign,Cybersecurity,70.7,2026-04-13,Qualified,Not Interested,,SR08,,No
L0713,Kaveri Global,Retail,51-200,Ahmedabad,LinkedIn,Cloud Services,21.0,2026-04-13,New,Follow-up Required,2026-10-10,SR06,,No
L0714,Lotus Networks,Manufacturing,501-1000,Pune,Referral,Cloud Services,,2026-04-13,Qualified,Waiting for Response,2026-10-09,SR06,,No
L0715,Oasis Apps,SaaS,201-500,Mumbai,Email Campaign,Software Development,109.5,2026-04-13,Proposal,Follow-up Required,2026-09-25,SR09,1145000.0,No
