Lead_ID,Company_Name,Industry,Company_Size,Size_Order,Location,Lead_Source,Service_Interest,Annual_Revenue_Cr,Revenue_Imputed,Lead_Created_Date,Lead_Month,Lead_Stage,Stage_Order,Follow_Up_Status,Next_Follow_Up_Date,Follow_Up_Flag,Days_Overdue,Sales_Rep_ID,Deal_Value,Conversion,Deal_Outcome,Website_Visits,Email_Interactions,Calls_Made,Calls_Connected,Meetings,Total_Activities,Last_Contact_Date,Days_Since_Last_Contact,Score_Size,Score_Revenue,Score_Website,Score_Email,Score_Meetings,Score_Service_Fit,Score_Prior_Engagement,Lead_Score,Lead_Category
L0387,Zephyr Ventures,Retail,1-50,1,Chennai,Google Search,Cloud Services,14.2,False,2026-03-01,2026-03,Contacted,2,Contacted,2026-09-21,Upcoming,0.0,SR04,,No,Open,0,0,1,1,0,1,2026-05-15,127,0,5,0,0,0,10,5,20,Cold
L0388,Gravity Enterprises,FinTech,501-1000,4,Delhi,Email Campaign,DevOps,514.6,False,2026-03-01,2026-03,Contacted,2,Follow-up Required,2026-10-08,Upcoming,0.0,SR05,,No,Open,0,0,2,1,0,2,2026-04-20,152,15,20,0,0,0,4,5,44,Cold
L0389,Summit Pvt Ltd,SaaS,501-1000,4,Chennai,Referral,DevOps,194.9,False,2026-03-01,2026-03,Qualified,3,Waiting for Response,2026-10-02,Upcoming,0.0,SR08,,No,Open,0,2,3,2,0,5,2026-05-22,120,15,10,0,10,0,10,10,55,Cold
L0390,Zeal Systems,SaaS,201-500,3,Delhi,Cold Calling,Software Development,107.3,False,2026-03-01,2026-03,Qualified,3,Contacted,2026-09-29,Upcoming,0.0,SR01,,No,Open,1,2,2,2,0,5,2026-05-22,120,10,10,3,10,0,4,10,47,Cold
L0391,Delta Industrial,Manufacturing,501-1000,4,Delhi,Cold Calling,Digital Transformation,218.7,False,2026-03-01,2026-03,Qualified,3,Contacted,2026-10-10,Upcoming,0.0,SR05,,No,Open,3,2,1,0,0,6,2026-05-16,126,15,15,6,10,0,10,0,56,Cold
L0392,Bharat Global,SaaS,1-50,1,Hyderabad,Email Campaign,Cloud Services,11.2,False,2026-03-02,2026-03,New,1,Follow-up Required,2026-10-03,Upcoming,0.0,SR07,,No,Open,0,0,0,0,0,0,,,0,5,0,0,0,10,0,15,Cold
L0393,Bluepeak Enterprises,SaaS,501-1000,4,Mumbai,LinkedIn,DevOps,162.1,False,2026-03-02,2026-03,Meeting,4,Follow-up Required,2026-09-24,Upcoming,0.0,SR09,,No,Open,4,1,2,0,2,11,2026-05-28,114,15,10,10,5,20,10,0,70,Warm
L0394,Sapphire Labs,Manufacturing,501-1000,4,Noida,Cold Calling,Cloud Services,569.0,False,2026-03-02,2026-03,Contacted,2,Waiting for Response,2026-09-01,Overdue,18.0,SR05,,No,Open,1,1,1,0,0,3,2026-05-20,122,15,20,3,5,0,10,0,53,Cold
L0395,Dhruv Pvt Ltd,Healthcare,201-500,3,Hyderabad,Cold Calling,Cloud Services,183.8,False,2026-03-02,2026-03,Contacted,2,Waiting for Response,2026-10-07,Upcoming,0.0,SR07,,No,Open,0,0,1,0,0,1,2026-04-29,143,10,10,0,0,0,4,0,24,Cold
L0396,Astra Global,SaaS,1-50,1,Mumbai,LinkedIn,Cybersecurity,10.0,False,2026-03-03,2026-03,Contacted,2,Waiting for Response,2026-09-20,Upcoming,0.0,SR02,,No,Open,1,0,2,1,0,3,2026-05-29,113,0,5,3,0,0,4,5,17,Cold
L0397,Prism Apps,SaaS,51-200,2,Delhi,Cold Calling,Cloud Services,43.8,False,2026-03-03,2026-03,Contacted,2,Follow-up Required,2026-09-30,Upcoming,0.0,SR10,,No,Open,2,1,1,0,0,4,2026-04-23,149,5,5,6,5,0,10,0,31,Cold
L0398,Bharat Industries,SaaS,1-50,1,Bengaluru,Cold Calling,Cloud Services,6.4,False,2026-03-03,2026-03,New,1,Follow-up Required,2026-09-11,Overdue,8.0,SR08,,No,Open,0,0,0,0,0,0,,,0,0,0,0,0,10,0,10,Cold
L0399,Ishaan Ventures,FinTech,201-500,3,Bengaluru,LinkedIn,Cybersecurity,40.8,False,2026-03-03,2026-03,Won,6,Closed,,No Follow-up Needed,0.0,SR07,1400000,Yes,Won,5,1,3,1,1,13,2026-06-01,110,10,5,10,5,12,10,5,57,Cold
L0400,Jade Health,Healthcare,1000+,5,Bengaluru,Website,Cloud Services,2891.0,False,2026-03-03,2026-03,Meeting,4,Contacted,2026-10-04,Upcoming,0.0,SR07,,No,Open,2,2,2,0,1,8,2026-05-31,111,20,20,6,10,12,4,0,72,Warm
L0401,Ion Finserv,FinTech,1-50,1,Bengaluru,LinkedIn,Cloud Services,4.2,False,2026-03-03,2026-03,Qualified,3,Contacted,2026-09-27,Upcoming,0.0,SR04,,No,Open,3,1,1,0,0,6,2026-05-17,125,0,0,6,5,0,10,0,21,Cold
L0402,Umbra Wealth Tech,FinTech,1-50,1,Mumbai,Events,Digital Transformation,7.2,False,2026-03-03,2026-03,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR02,,No,Lost,0,0,2,2,0,2,2026-04-27,145,0,0,0,0,0,4,10,14,Cold
L0403,Apex Enterprises,Logistics,201-500,3,Gurgaon,LinkedIn,Digital Transformation,130.6,False,2026-03-03,2026-03,Contacted,2,Waiting for Response,2026-09-19,Due Today,0.0,SR10,,No,Open,1,0,2,0,0,3,2026-05-06,136,10,10,3,0,0,10,0,33,Cold
L0404,Cobalt Group,SaaS,1-50,1,Pune,LinkedIn,Cybersecurity,11.0,False,2026-03-03,2026-03,Meeting,4,Follow-up Required,2026-09-27,Upcoming,0.0,SR09,,No,Open,4,1,3,2,1,11,2026-05-30,112,0,5,10,5,12,4,10,46,Cold
L0405,Unity Health,Healthcare,1-50,1,Pune,Referral,Cybersecurity,2.1,False,2026-03-03,2026-03,Meeting,4,Follow-up Required,2026-10-08,Upcoming,0.0,SR09,,No,Open,1,0,2,0,1,5,2026-05-28,114,0,0,3,0,12,10,0,25,Cold
L0406,Optima Pvt Ltd,Education,201-500,3,Gurgaon,LinkedIn,DevOps,92.7,False,2026-03-03,2026-03,Contacted,2,Waiting for Response,2026-09-26,Upcoming,0.0,SR05,,No,Open,2,1,2,1,0,5,2026-05-27,115,10,10,6,5,0,4,5,40,Cold
L0407,Helix Online,E-commerce,51-200,2,Gurgaon,Email Campaign,Cloud Services,29.3,False,2026-03-04,2026-03,New,1,Follow-up Required,2026-09-26,Upcoming,0.0,SR05,,No,Open,1,0,0,0,0,1,,,5,5,3,0,0,10,0,23,Cold
L0408,Crest Labs,Manufacturing,1000+,5,Chennai,Events,Software Development,2319.6,False,2026-03-04,2026-03,Meeting,4,Meeting Scheduled,2026-09-29,Upcoming,0.0,SR08,,No,Open,1,2,2,2,1,7,2026-04-13,159,20,20,3,10,12,4,10,79,Warm
L0409,Quartz Softech,Retail,1-50,1,Bengaluru,Cold Calling,Digital Transformation,10.7,False,2026-03-04,2026-03,Contacted,2,Follow-up Required,2026-09-08,Overdue,11.0,SR08,,No,Open,1,0,1,1,0,2,2026-05-21,121,0,5,3,0,0,10,5,23,Cold
L0410,Solace Systems,SaaS,1-50,1,Bengaluru,Referral,DevOps,8.6,False,2026-03-04,2026-03,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR08,,No,Lost,0,0,2,0,0,4,2026-04-21,151,0,0,0,0,0,10,0,10,Cold
L0411,Xenon Solutions,Retail,1000+,5,Mumbai,Events,Digital Transformation,2516.6,False,2026-03-04,2026-03,Qualified,3,Follow-up Required,2026-09-27,Upcoming,0.0,SR06,,No,Open,1,0,1,1,0,3,2026-05-25,117,20,20,3,0,0,10,5,58,Cold
L0412,Zeal Industries,E-commerce,51-200,2,Chennai,Cold Calling,DevOps,10.3,False,2026-03-04,2026-03,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR04,,No,Lost,2,0,2,0,0,4,2026-05-16,126,5,5,6,0,0,4,0,20,Cold
L0413,Horizon Pvt Ltd,E-commerce,201-500,3,Mumbai,Email Campaign,Software Development,143.7,False,2026-03-04,2026-03,Meeting,4,Waiting for Response,2026-09-11,Overdue,8.0,SR09,,No,Open,1,0,2,1,2,6,2026-05-26,116,10,10,3,0,20,10,5,58,Cold
L0414,Evergreen Group,Retail,201-500,3,Mumbai,Google Search,Software Development,168.7,False,2026-03-04,2026-03,Meeting,4,Waiting for Response,2026-10-07,Upcoming,0.0,SR09,,No,Open,4,0,3,0,1,11,2026-05-28,114,10,10,10,0,12,4,0,46,Cold
L0415,Wisp Global,Retail,501-1000,4,Hyderabad,Referral,Cybersecurity,160.3,False,2026-03-04,2026-03,Meeting,4,Contacted,2026-09-25,Upcoming,0.0,SR07,,No,Open,4,2,2,2,1,11,2026-05-30,112,15,10,10,10,12,4,10,71,Warm
L0416,Glide Pvt Ltd,FinTech,1000+,5,Gurgaon,Google Search,Software Development,1957.4,False,2026-03-05,2026-03,Meeting,4,Meeting Scheduled,2026-09-19,Due Today,0.0,SR10,,No,Open,1,0,2,1,1,6,2026-05-08,134,20,20,3,0,12,4,5,64,Warm
L0417,Quest Industries,FinTech,51-200,2,Pune,Email Campaign,DevOps,32.9,False,2026-03-05,2026-03,Contacted,2,Waiting for Response,2026-09-19,Due Today,0.0,SR06,,No,Open,1,0,1,1,0,2,2026-04-25,147,5,5,3,0,0,4,5,22,Cold
L0418,Garuda Cargo,Logistics,51-200,2,Bengaluru,Referral,Digital Transformation,31.5,False,2026-03-05,2026-03,Proposal,5,Closed,,No Follow-up Needed,0.0,SR08,895000,No,Lost,4,1,2,1,2,12,2026-05-25,117,5,5,10,5,20,10,5,60,Warm
L0419,Crest Systems,SaaS,51-200,2,Bengaluru,Website,Cloud Services,45.8,False,2026-03-05,2026-03,Contacted,2,Contacted,2026-09-21,Upcoming,0.0,SR04,,No,Open,0,1,1,1,0,2,2026-04-25,147,5,5,0,5,0,10,5,30,Cold
L0420,Evergreen Solutions,SaaS,51-200,2,Bengaluru,Cold Calling,Cloud Services,54.2,False,2026-03-05,2026-03,Contacted,2,Follow-up Required,2026-10-01,Upcoming,0.0,SR04,,No,Open,2,0,2,2,0,5,2026-05-18,124,5,10,6,0,0,10,10,41,Cold
L0421,Wisp Industrial,Manufacturing,51-200,2,Mumbai,Cold Calling,DevOps,15.9,False,2026-03-05,2026-03,Qualified,3,Follow-up Required,2026-10-04,Upcoming,0.0,SR06,,No,Open,2,0,3,1,0,6,2026-05-28,114,5,5,6,0,0,4,5,25,Cold
L0422,Pulse Systems,Healthcare,1-50,1,Bengaluru,LinkedIn,Digital Transformation,10.0,False,2026-03-05,2026-03,Qualified,3,Follow-up Required,2026-09-23,Upcoming,0.0,SR04,,No,Open,3,1,1,0,0,5,2026-05-23,119,0,5,6,5,0,10,0,26,Cold
L0423,Solace Global,FinTech,1-50,1,Pune,Email Campaign,Cybersecurity,11.4,False,2026-03-05,2026-03,Qualified,3,Waiting for Response,2026-09-26,Upcoming,0.0,SR02,,No,Open,1,1,2,1,0,4,2026-04-26,146,0,5,3,5,0,10,5,28,Cold
L0424,Chakra Pvt Ltd,E-commerce,1000+,5,Pune,LinkedIn,Cloud Services,1409.7,False,2026-03-05,2026-03,Contacted,2,Follow-up Required,2026-10-05,Upcoming,0.0,SR09,,No,Open,0,0,1,0,0,1,2026-03-23,180,20,20,0,0,0,10,0,50,Cold
L0425,Neptune Labs,Healthcare,1-50,1,Delhi,Cold Calling,DevOps,8.4,False,2026-03-05,2026-03,Qualified,3,Waiting for Response,2026-09-01,Overdue,18.0,SR10,,No,Open,0,1,1,0,0,3,2026-06-03,108,0,0,0,5,0,4,0,9,Cold
L0426,Paragon Solutions,SaaS,201-500,3,Chennai,Events,Digital Transformation,130.5,False,2026-03-05,2026-03,Meeting,4,Follow-up Required,2026-10-04,Upcoming,0.0,SR08,,No,Open,4,1,2,0,1,8,2026-05-21,121,10,10,10,5,12,4,0,51,Cold
L0427,Vertex Global,Retail,1-50,1,Ahmedabad,Events,Software Development,14.0,False,2026-03-05,2026-03,New,1,Follow-up Required,2026-10-02,Upcoming,0.0,SR09,,No,Open,0,0,0,0,0,0,,,0,5,0,0,0,4,0,9,Cold
L0428,Wavelet Commerce,E-commerce,1-50,1,Mumbai,Email Campaign,Cloud Services,9.8,False,2026-03-05,2026-03,Contacted,2,Waiting for Response,2026-09-29,Upcoming,0.0,SR02,,No,Open,1,1,2,1,0,4,2026-05-19,123,0,0,3,5,0,10,5,23,Cold
L0429,Harbor Platforms,SaaS,51-200,2,Noida,LinkedIn,Cloud Services,38.7,False,2026-03-05,2026-03,Meeting,4,Meeting Scheduled,2026-09-21,Upcoming,0.0,SR10,,No,Open,2,1,3,0,2,9,2026-05-07,135,5,5,6,5,20,10,0,51,Cold
L0430,Astra Solutions,Healthcare,51-200,2,Bengaluru,Cold Calling,Digital Transformation,42.3,False,2026-03-06,2026-03,Contacted,2,Waiting for Response,2026-09-17,Overdue,2.0,SR08,,No,Open,2,0,2,0,0,4,2026-05-10,132,5,5,6,0,0,10,0,26,Cold
L0431,Kestrel Group,Manufacturing,51-200,2,Bengaluru,LinkedIn,Digital Transformation,26.0,False,2026-03-06,2026-03,Qualified,3,Follow-up Required,2026-10-05,Upcoming,0.0,SR08,,No,Open,1,0,3,0,0,5,2026-05-06,136,5,5,3,0,0,10,0,23,Cold
L0432,Quartz Global,FinTech,1-50,1,Delhi,Cold Calling,Cybersecurity,4.8,False,2026-03-06,2026-03,Proposal,5,Waiting for Response,2026-08-31,Overdue,19.0,SR10,370000,No,Open,4,4,3,2,3,14,2026-06-02,109,0,0,10,10,20,10,10,60,Warm
L0433,Wavelet Global,E-commerce,1000+,5,Delhi,Website,Software Development,2853.3,False,2026-03-06,2026-03,Contacted,2,Contacted,2026-09-04,Overdue,15.0,SR01,,No,Open,1,0,1,0,0,2,2026-05-18,124,20,20,3,0,0,10,0,53,Cold
L0434,Oasis Labs,SaaS,201-500,3,Ahmedabad,LinkedIn,Digital Transformation,198.1,False,2026-03-06,2026-03,Contacted,2,Contacted,2026-10-09,Upcoming,0.0,SR09,,No,Open,0,0,1,0,0,1,2026-04-01,171,10,10,0,0,0,4,0,24,Cold
L0435,Quest Supply Chain,Logistics,201-500,3,Jaipur,Events,DevOps,123.3,False,2026-03-07,2026-03,New,1,Follow-up Required,2026-09-27,Upcoming,0.0,SR05,,No,Open,2,0,0,0,0,2,,,10,10,6,0,0,4,0,30,Cold
L0436,Yash Systems,SaaS,201-500,3,Mumbai,Website,Digital Transformation,196.6,False,2026-03-07,2026-03,Qualified,3,Follow-up Required,2026-09-05,Overdue,14.0,SR09,,No,Open,1,0,1,1,0,4,2026-04-28,144,10,10,3,0,0,4,5,32,Cold
L0437,Lakshya Technologies,Education,51-200,2,Delhi,Email Campaign,Digital Transformation,43.5,False,2026-03-07,2026-03,Proposal,5,Not Interested,,No Follow-up Needed,0.0,SR03,740000,No,Lost,2,1,2,0,3,9,2026-06-05,106,5,5,6,5,20,10,0,51,Cold
L0438,Solace Wealth Tech,FinTech,201-500,3,Pune,LinkedIn,Software Development,132.4,False,2026-03-07,2026-03,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR09,,No,Lost,1,1,3,3,0,5,2026-04-23,149,10,10,3,5,0,4,10,42,Cold
L0439,Pinnacle Networks,FinTech,1-50,1,Ahmedabad,Google Search,Cloud Services,9.9,False,2026-03-07,2026-03,New,1,Follow-up Required,2026-09-29,Upcoming,0.0,SR02,,No,Open,0,0,0,0,0,0,,,0,0,0,0,0,10,0,10,Cold
L0440,Vayu Labs,FinTech,201-500,3,Hyderabad,LinkedIn,Cloud Services,46.1,False,2026-03-07,2026-03,New,1,Follow-up Required,2026-09-19,Due Today,0.0,SR08,,No,Open,1,0,0,0,0,1,,,10,5,3,0,0,10,0,28,Cold
L0441,Ember Softech,Healthcare,1000+,5,Bengaluru,Cold Calling,Digital Transformation,800.8,False,2026-03-07,2026-03,Contacted,2,Contacted,2026-10-04,Upcoming,0.0,SR04,,No,Open,1,0,2,0,0,4,2026-05-01,141,20,20,3,0,0,10,0,53,Cold
L0442,Bharat Enterprises,Education,201-500,3,Noida,LinkedIn,Digital Transformation,107.5,False,2026-03-08,2026-03,New,1,Follow-up Required,2026-09-12,Overdue,7.0,SR01,,No,Open,2,0,0,0,0,2,,,10,10,6,0,0,10,0,36,Cold
L0443,Falcon Technologies,Retail,201-500,3,Pune,Cold Calling,Cloud Services,147.6,False,2026-03-08,2026-03,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR02,,No,Lost,2,1,2,1,0,5,2026-05-20,122,10,10,6,5,0,10,5,46,Cold
L0444,Unity Softech,Healthcare,51-200,2,Delhi,Website,Cloud Services,45.8,False,2026-03-08,2026-03,New,1,Follow-up Required,2026-09-23,Upcoming,0.0,SR03,,No,Open,2,0,0,0,0,2,,,5,5,6,0,0,4,0,20,Cold
L0445,Dhruv Technologies,Retail,51-200,2,Gurgaon,Referral,Software Development,36.8,True,2026-03-08,2026-03,Meeting,4,Waiting for Response,2026-10-01,Upcoming,0.0,SR01,,No,Open,1,0,2,0,2,6,2026-05-23,119,5,5,3,0,20,4,0,37,Cold
L0446,Yash Platforms,SaaS,1-50,1,Mumbai,Website,DevOps,11.6,False,2026-03-08,2026-03,New,1,Follow-up Required,2026-09-17,Overdue,2.0,SR09,,No,Open,2,0,0,0,0,2,,,0,5,6,0,0,10,0,21,Cold
L0447,Indus Labs,SaaS,51-200,2,Gurgaon,Referral,Cloud Services,33.4,False,2026-03-08,2026-03,Contacted,2,Contacted,2026-10-08,Upcoming,0.0,SR01,,No,Open,2,0,1,0,0,3,2026-03-20,183,5,5,6,0,0,10,0,26,Cold
L0448,Spark Health,Healthcare,1-50,1,Bengaluru,LinkedIn,Software Development,9.4,False,2026-03-09,2026-03,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR08,,No,Lost,3,0,1,0,0,5,2026-04-20,152,0,0,6,0,0,4,0,10,Cold
L0449,Xenon Software,SaaS,1-50,1,Pune,Email Campaign,Cybersecurity,14.4,False,2026-03-09,2026-03,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR09,,No,Lost,1,1,2,1,0,4,2026-06-04,107,0,5,3,5,0,4,5,22,Cold
L0450,Meridian Technologies,Retail,201-500,3,Mumbai,Cold Calling,Cloud Services,106.3,False,2026-03-09,2026-03,Won,6,Closed,,No Follow-up Needed,0.0,SR06,1000000,Yes,Won,3,3,4,0,1,13,2026-06-01,110,10,10,6,10,12,10,0,58,Cold
L0451,Solace Industries,Healthcare,1-50,1,Noida,LinkedIn,Digital Transformation,7.1,False,2026-03-09,2026-03,New,1,Follow-up Required,2026-10-02,Upcoming,0.0,SR03,,No,Open,1,0,0,0,0,1,,,0,0,3,0,0,10,0,13,Cold
L0452,Lakshya Enterprises,Logistics,201-500,3,Bengaluru,Cold Calling,Cybersecurity,66.8,False,2026-03-09,2026-03,New,1,Follow-up Required,2026-09-13,Overdue,6.0,SR04,,No,Open,1,0,0,0,0,1,,,10,10,3,0,0,4,0,27,Cold
L0453,Prana Pvt Ltd,FinTech,501-1000,4,Hyderabad,Cold Calling,Cloud Services,215.2,False,2026-03-09,2026-03,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR04,,No,Lost,1,1,2,2,0,4,2026-05-30,112,15,15,3,5,0,10,10,58,Cold
L0454,Falcon Finserv,FinTech,51-200,2,Mumbai,LinkedIn,Cybersecurity,51.2,False,2026-03-09,2026-03,Qualified,3,Meeting Scheduled,2026-09-25,Upcoming,0.0,SR06,,No,Open,2,1,1,1,0,5,2026-05-06,136,5,10,6,5,0,10,5,41,Cold
L0455,Bolt Manufacturing,Manufacturing,201-500,3,Jaipur,Referral,Digital Transformation,147.6,False,2026-03-09,2026-03,Proposal,5,Waiting for Response,2026-10-03,Upcoming,0.0,SR03,1375000,No,Open,4,1,4,1,1,12,2026-05-31,111,10,10,10,5,12,10,5,62,Warm
L0456,Cobalt Softech,Education,1-50,1,Hyderabad,Cold Calling,Digital Transformation,5.3,False,2026-03-09,2026-03,New,1,Follow-up Required,2026-10-05,Upcoming,0.0,SR04,,No,Open,0,0,0,0,0,0,,,0,0,0,0,0,10,0,10,Cold
L0457,Kaveri Networks,E-commerce,1-50,1,Unknown,Referral,Cloud Services,5.4,False,2026-03-09,2026-03,Qualified,3,Meeting Scheduled,2026-09-26,Upcoming,0.0,SR10,,No,Open,1,0,1,0,0,4,2026-06-05,106,0,0,3,0,0,10,0,13,Cold
L0458,Lotus Enterprises,E-commerce,51-200,2,Gurgaon,LinkedIn,Cloud Services,18.0,False,2026-03-10,2026-03,Proposal,5,Waiting for Response,2026-10-10,Upcoming,0.0,SR01,305000,No,Open,3,2,2,0,2,10,2026-05-01,141,5,5,6,10,20,10,0,56,Cold
L0459,Bharat Pvt Ltd,SaaS,1-50,1,Hyderabad,Website,Cloud Services,6.0,False,2026-03-10,2026-03,Qualified,3,Follow-up Required,2026-09-21,Upcoming,0.0,SR04,,No,Open,2,2,2,1,0,6,2026-06-03,108,0,0,6,10,0,10,5,31,Cold
L0460,Rudra Systems,SaaS,201-500,3,Chennai,Website,Software Development,82.8,False,2026-03-10,2026-03,Contacted,2,Follow-up Required,2026-09-19,Due Today,0.0,SR08,,No,Open,1,1,1,0,0,3,2026-05-29,113,10,10,3,5,0,4,0,32,Cold
L0461,Cobalt Retail,Retail,1000+,5,Bengaluru,Email Campaign,Cloud Services,1474.2,False,2026-03-10,2026-03,Contacted,2,Follow-up Required,2026-10-08,Upcoming,0.0,SR07,,No,Open,0,0,2,0,0,2,2026-04-17,155,20,20,0,0,0,10,0,50,Cold
L0462,Aurora Ventures,E-commerce,501-1000,4,Pune,Cold Calling,Cloud Services,425.8,False,2026-03-10,2026-03,New,1,Follow-up Required,2026-09-25,Upcoming,0.0,SR09,,No,Open,2,0,0,0,0,2,,,15,15,6,0,0,10,0,46,Cold
L0463,Quantum Networks,Education,51-200,2,Mumbai,Website,DevOps,53.0,False,2026-03-10,2026-03,New,1,Follow-up Required,2026-09-30,Upcoming,0.0,SR09,,No,Open,0,0,0,0,0,0,,,5,10,0,0,0,4,0,19,Cold
L0464,Yonder Industries,SaaS,1-50,1,Mumbai,LinkedIn,Cloud Services,3.8,False,2026-03-11,2026-03,Qualified,3,Contacted,2026-09-28,Upcoming,0.0,SR02,,No,Open,2,1,3,3,0,7,2026-04-19,153,0,0,6,5,0,10,10,31,Cold
L0465,Uday Global,FinTech,1000+,5,Gurgaon,Referral,Cloud Services,903.4,False,2026-03-11,2026-03,Won,6,Closed,,No Follow-up Needed,0.0,SR01,1540000,Yes,Won,4,3,5,1,3,17,2026-06-07,104,20,20,10,10,20,10,5,95,Hot
L0466,Sagar Technologies,Retail,51-200,2,Mumbai,LinkedIn,Software Development,55.7,False,2026-03-11,2026-03,Contacted,2,Follow-up Required,2026-08-30,Overdue,20.0,SR02,,No,Open,2,0,2,1,0,4,2026-05-16,126,5,10,6,0,0,4,5,30,Cold
L0467,Umbra Finserv,FinTech,201-500,3,Mumbai,Referral,Software Development,99.9,False,2026-03-11,2026-03,Meeting,4,Waiting for Response,2026-09-04,Overdue,15.0,SR06,,No,Open,4,1,2,0,1,8,2026-06-06,105,10,10,10,5,12,4,0,51,Cold
L0468,Kaveri Pvt Ltd,Logistics,1-50,1,Noida,LinkedIn,Cybersecurity,4.3,False,2026-03-11,2026-03,New,1,Follow-up Required,2026-10-01,Upcoming,0.0,SR01,,No,Open,2,0,0,0,0,2,,,0,0,6,0,0,4,0,10,Cold
L0469,Umbra Group,E-commerce,201-500,3,Gurgaon,Cold Calling,Cloud Services,165.2,False,2026-03-11,2026-03,New,1,Follow-up Required,2026-09-29,Upcoming,0.0,SR10,,No,Open,0,0,0,0,0,0,,,10,10,0,0,0,10,0,30,Cold
L0470,Horizon Group,Manufacturing,1-50,1,Ahmedabad,LinkedIn,Software Development,3.6,False,2026-03-11,2026-03,Contacted,2,Waiting for Response,2026-10-09,Upcoming,0.0,SR09,,No,Open,0,0,2,0,0,2,2026-06-01,110,0,0,0,0,0,4,0,4,Cold
L0471,Oasis Group,Logistics,201-500,3,Bengaluru,LinkedIn,DevOps,186.9,False,2026-03-11,2026-03,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR07,,No,Lost,2,1,2,1,0,5,2026-05-26,116,10,10,6,5,0,4,5,40,Cold
L0472,Spark Networks,SaaS,51-200,2,Unknown,Cold Calling,Cloud Services,35.9,False,2026-03-11,2026-03,Proposal,5,Follow-up Required,2026-10-02,Upcoming,0.0,SR01,575000,No,Open,2,1,3,1,3,10,2026-05-18,124,5,5,6,5,20,10,5,56,Cold
L0473,Radiant Diagnostics,Healthcare,201-500,3,Bengaluru,Email Campaign,Digital Transformation,155.3,False,2026-03-11,2026-03,Contacted,2,Follow-up Required,2026-09-23,Upcoming,0.0,SR08,,No,Open,2,0,2,0,0,5,2026-05-20,122,10,10,6,0,0,10,0,36,Cold
L0474,Vayu Industries,E-commerce,1-50,1,Pune,LinkedIn,Digital Transformation,10.9,False,2026-03-11,2026-03,Qualified,3,Waiting for Response,2026-09-22,Upcoming,0.0,SR02,,No,Open,3,1,1,1,0,5,2026-05-17,125,0,5,6,5,0,4,5,25,Cold
L0475,Summit Technologies,Retail,501-1000,4,Gurgaon,Email Campaign,Cloud Services,410.8,True,2026-03-11,2026-03,Contacted,2,Waiting for Response,2026-08-31,Overdue,19.0,SR03,,No,Open,0,0,2,1,0,2,2026-06-07,104,15,15,0,0,0,10,5,45,Cold
L0476,Lakshya Networks,FinTech,51-200,2,Mumbai,Email Campaign,DevOps,58.7,False,2026-03-12,2026-03,New,1,Follow-up Required,2026-09-19,Due Today,0.0,SR02,,No,Open,0,0,0,0,0,0,,,5,10,0,0,0,4,0,19,Cold
L0477,Dhruv Marketplace,E-commerce,51-200,2,Hyderabad,LinkedIn,Cybersecurity,21.9,False,2026-03-12,2026-03,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR04,,No,Lost,2,1,3,2,0,7,2026-06-01,110,5,5,6,5,0,4,10,35,Cold
L0478,Delta Labs,Education,201-500,3,Hyderabad,Cold Calling,Software Development,108.4,False,2026-03-12,2026-03,Meeting,4,Waiting for Response,2026-09-29,Upcoming,0.0,SR07,,No,Open,3,2,3,2,1,10,2026-05-25,117,10,10,6,10,12,10,10,68,Warm
L0479,Pinnacle Systems,E-commerce,1-50,1,Jaipur,Website,Cybersecurity,9.6,False,2026-03-12,2026-03,Meeting,4,Meeting Scheduled,2026-09-21,Upcoming,0.0,SR03,,No,Open,3,1,3,1,2,9,2026-05-10,132,0,0,6,5,20,4,5,40,Cold
L0480,Pinnacle Technologies,FinTech,501-1000,4,Bengaluru,Google Search,Software Development,572.5,False,2026-03-12,2026-03,Meeting,4,Meeting Scheduled,2026-09-30,Upcoming,0.0,SR07,,No,Open,4,2,3,1,1,11,2026-05-17,125,15,20,10,10,12,4,5,76,Warm
L0481,Dhruv Ventures,Logistics,201-500,3,Bengaluru,LinkedIn,Software Development,121.4,True,2026-03-12,2026-03,Contacted,2,Follow-up Required,2026-09-25,Upcoming,0.0,SR04,,No,Open,1,0,2,0,0,3,2026-05-26,116,10,10,3,0,0,4,0,27,Cold
L0482,Mantra Retail,Retail,51-200,2,Gurgaon,Website,Software Development,32.9,False,2026-03-13,2026-03,Contacted,2,Contacted,2026-09-18,Overdue,1.0,SR03,,No,Open,1,0,1,0,0,2,2026-04-15,157,5,5,3,0,0,4,0,17,Cold
L0483,Novus Networks,FinTech,1-50,1,Delhi,LinkedIn,DevOps,10.9,False,2026-03-13,2026-03,Won,6,Closed,,No Follow-up Needed,0.0,SR05,355000,Yes,Won,4,3,4,1,2,14,2026-06-07,104,0,5,10,10,20,4,5,54,Cold
